name,type,category,sourceBlock,line,alreadyWindowExposed,neededGlobalByInlineHandler
_xlFilename,function,export-excel,main,18558,False,False
_xlGetData,function,export-excel,main,18571,False,False
_xlSheetCover,function,export-excel,main,18615,False,False
_xlSheetSummary,function,export-excel,main,18648,False,False
_xlSheetTasks,function,export-excel,main,18708,False,False
_xlSheetSprints,function,export-excel,main,18836,False,False
_xlSheetEpics,function,export-excel,main,18883,False,False
_xlSheetReleases,function,export-excel,main,18929,False,False
_xlSheetTeam,function,export-excel,main,18975,False,False
_xlSheetProjects,function,export-excel,main,19032,False,False
_xlSheetMetrics,function,export-excel,main,19087,False,False
exportReportExcel,function,export-excel,main,19199,False,False
_expSelProjs,assign,export-shared-ui,main,19420,False,False
_expSelSprints,assign,export-shared-ui,main,19421,False,False
_expSelAssignees,assign,export-shared-ui,main,19422,False,False
openExportDateRangeModal,function,export-shared,main,19427,False,True
_expUpdateInfoText,function,export-shared-ui,main,19545,False,False
_expToggleProjDrop,function,export-shared-ui,main,19557,False,True
_expOnProjApply,function,export-shared-ui,main,19584,False,False
_expToggleSprintDrop,function,export-shared-ui,main,19606,False,True
_expPruneAssignees,function,export-shared-ui,main,19636,False,False
_expGetScopedUsers,function,export-shared-ui,main,19651,False,False
_expToggleAssigneeDrop,function,export-shared-ui,main,19677,False,True
_drFmtDate,function,delay-reports,main,19702,False,False
_openAuditExportModal,function,export-shared-ui,main,19706,False,False
drUpdateEstimate,function,delay-reports,main,19773,False,True
closeExportDateRangeModal,function,export-shared,main,19791,False,True
confirmExportDateRange,function,export-shared,main,19800,False,True
exportAuditLogs,function,export-shared-ui,main,19853,False,False
_applyExportMenuRBAC,function,rbac,main,20142,False,False
_xlGetData_orig,assign,export-excel,main,20170,False,False
_prdId,function,productivity-report,main,20178,False,False
_tagId,function,utils-core,main,20179,False,False
renderAdminConfig,function,admin-settings,main,20182,False,False
_tagColorByName,function,utils-core,main,20226,False,False
_productColorByName,function,utils-core,main,20230,False,False
_coloredChip,function,utils-core,main,20234,False,False
_renderProductsList,function,admin-settings,main,20241,False,False
_renderTagsList,function,admin-settings,main,20271,False,False
